district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Gilbert (Gil),Cidillo,male,hispanic-american,1954-03-25,2013-07-01,2017-06-30,councilor,democrat,councilmember.cidillo@lacity.org,213-473-7001,"City Hall, 200 North Spring St., Room 470, Los Angeles 90012",https://twitter.com/gilcedillocd1,https://www.facebook.com/GilbertCedillo/,http://i1052.photobucket.com/albums/s451/psk488/Cedillo%20City%20Hall%201_zpsaeclfusx.jpg
2,no,Paul,Krekorian,male,middle-eastern-american,1960-03-24,2010-01-05,2020-12-13,councilor,democrat,councilmember.krekorian@lacity.org,213-473-7002,"City Hall, North Spring St., Room 435, Los Angeles, CA 90012",https://twitter.com/PaulKrekorian,https://www.facebook.com/krekorian,https://www.flickr.com/photos/lafd/20736871722/in/photolist-xjEdTw-xyX9wq-xArQw9-xjLvJK-xjLxUg-xBgEZa-xjEhKj-xjEdJf-wEp8vF-wEpear-xjEmgY-xBT57D-wEpbt4-xjLxwT-wEpe2F-xjLzoi-xBgHnB-xjEfVQ-xArTv5-xjEiAY-xyXcfG-xjLxRk-wEfPCJ-wEpdQi-wEfPtq-xBgF4t-wEfM5s-xjLxbH-xjLEwK-xjEcPQ-xBTdSz-xjEbAq-wEfEDm-xArR39-xArK1E-xArJ7q-xjEk7q-xBTfj2-wEphtk-xBgJYn-xBT6DB-xjLCpi-xjEdzY-xBgPde-xBgLTp-wEfFis-xjLCc4-xBgNdi-xjEcPN-xArK2b
3,no,Bob,Blumenfield,male,white-american,1967-09-13,2013-07-01,2017-06-30,councilor,democrat,councilmember.blumenfield@lacity.org,213-473-7003,"City Hall, 200 North Spring St., Room 415, Los Angeles, CA 90012 ",https://twitter.com/BobBlumenfield,https://www.facebook.com/BobBlumenfieldSFV,https://www.flickr.com/photos/lamountains/27105950572/in/photolist-HrLtak-H2thgE-Hig1T5-Hig18Y-Hig13C-HrLoCp-HoMivC-HrLnci-GwiykR-HrLj6D-HkEDAK-HkELnk-GwjfAk-GwjeQc-GwjdvD-HoMGEU-GwjcbK-GwjarT-HigfGC-HoMCSJ-HkEKCV-HkEKhK-HkEHMF-Gwj1Qz-HkEF8n-H2tnFh-H2tno3-HkEEnz-HkEDZv-Hig6V9-Hig6by-Hig5Ko-HrLumi-HrLrNT-HoMmiw-GwiMvP-HrLpoH-HoMjgf-HrLmkZ-GwiCE2-H2tctd-GwiB58-HrLjUT-GwiyUB-H2tpRj-HoMgYQ-H2tbq1-GwizUc-GwjcQa-GwiwXv
4,no,David E.,Ryu,male,asian-american,,2015-07-01,2020-12-13,councilor,democrat,david.ryu@lacity.og,213-473-7004,"City Hall, 200 North Spring Street, Room 425, Los Angeles, CA 90012 ",https://twitter.com/davideryu,https://www.facebook.com/cd4ryu/,http://davidryu.lacity.org/
5,no,Paul,Kortez,male,white-american,1955-04-03,2009-07-01,2017-06-13,councilor,democrat,paul.kortez@lacity.org,213-473-7005,"City Hall, 200 North Spring Street, Room 440, Los Angeles, CA  90012",https://twitter.com/PaulKoretzCD5,https://www.facebook.com/pkoretz,http://www.councilmemberpaulkoretz.com/
6,no,Nury,Martinez,female,hispanic-american,,2013-08-02,2020-12-13,councilor,democrat,councilmember.martinez@lacity.org,213-473-7006,"City Hall, 200 North. Spring Street, Room 470, Los Angeles, CA 90012",https://twitter.com/CD6Nury,https://www.facebook.com/mhdcd8,https://www.flickr.com/photos/raulbocanegra/8080146479/in/photolist-dj1S3k-egd4zr-9bKetG-9bKf5y-9bG9gR-9qGTZd-9bK56q-9bFZgr-9bFYwx-9dnA3t-9bKeEU-nC2F1F-9bJZAd-nyfhQo-oEfDdW-9bK5Jy-9bG9aH-9bFZ5F-pbxxHz-egjMhA-nMA3BL-ejjsZR-egiNPu-nE6Nbz-ejjtNH-dkgBmV-fk5h7o-fk5h59-9bG9Ng-9bKeAy-9bK5qQ-nkPV2J-n31hwv-hGDaSu-g93zfE-n31fkM-ejqcjE-n2rFyt-n31fwa-nC6xss-ejqd2u-oUk75Y-pmbPS1-ejqc29-n2to2b-oUk4Eg-ojUNQH-nQJXE2-n2tA9N-nQrUgZ
8,no,Marqueece,Harris-Dawson,male,african-american,,2015-07-01,2020-12-13,councilor,democrat,councilmember.harrison-dawson@lacity.org,213-473-7008,"City Hall, 200 North Spring Street, Room 450,  Los Angeles, CA  90012",https://twitter.com/mhdcd8,https://www.facebook.com/mhdcd8,https://www.instagram.com/p/BPgEOJtl90V/?taken-by=mhdcd8
9,no,Curren D.,"Price, Jr.",male,african-american,1950-12-16,2013-07-01,2017-06-30,councilor,democrat,councilmember.price@lacity.org,213-473-7009,"City Hall, 200 North Spring Street, Suite 420, Los Angeles, CA 90012",https://twitter.com/CurrenDPriceJr,https://www.facebook.com/CurrenDPriceJr,https://lasentinel.net/wp-content/uploads/sites/5/2015/07/LOC-Curren-D.-Price.jpg
10,no,Herb J.,"Wesson, Jr.",male,african-american,1951-11-11,2011-05-29,2020-12-13,council-president,democrat,councilmember.wesson@lacity.org,213-473-7010,"City Hall, 200 North Spring Street, Room 430, Los Angeles, CA 90012",https://twitter.com/HerbJWesson,https://www.facebook.com/HerbWessonJr,http://herbwesson.com/wp-content/uploads/2016/03/4b909ed0-9d1d-4fbf-9817-28dd393a3b8f.jpg
11,no,Mike,Bonin,male,white-american,1967-03-19,2013-07-01,2017-06-30,councilor,democrat,councilmember.bonin@lacity.org,213-473-7011,"City Hall, 200 North Spring Street, Room 475, Los Angeles, CA 90012 ",https://twitter.com/mikebonin,https://www.facebook.com/MikeBoninCD11,http://2.bp.blogspot.com/-VGnwHYvGomg/Ullgb3oq5-I/AAAAAAAACgU/l5uueK7s3Ms/s1600/MB+logo+large.png
